Description,Class
Cooling Tower Water Treatment Chemicals,Other
Monthly Water Usage -in Monthey Facility,Water
Electricity Meter Reading -,Electricity
Water Supply -in Basel Site,Water
Monthly Water Usage -in South America,Water
Insurance Premium - General Liability,Other
Utility Meter Calibration,Other
Heating Fuel Purchase -,Heating
Lighting System Replacement,Other
Industrial Waste Pickup -,Waste Disposal
Water Utility Bill -- Global HQ,Water
Winter Heating Usage -for North America,Heating
Monthly Power Usage -in South America,Electricity
Bulk Water Purchase -,Water
Water Utility Bill -for Distribution Center,Water
Water Utility Bill -- South America,Water
Non-Hazardous Waste Disposal -,Waste Disposal
Electric Utility Bill -for Distribution Center,Electricity
Electricity Meter Reading -,Electricity
Water Consumption -for Global HQ,Water
Electric Utility Bill -- Year-End,Electricity
Potable Water Supply -for North America,Water
General Waste Collection -- R&D Center,Waste Disposal
Medical Waste Collection -in Manufacturing Plant,Waste Disposal
Boiler System Repair,Other
Water Consumption -,Water
Chemical Waste Disposal -- Global HQ,Waste Disposal
Natural Gas Supply -in Year-End,Heating
Power Consumption -- European Operations,Electricity
Electricity Meter Reading -- Year-End,Electricity
Fungicide Product Sales - North America,Other
Utility Meter Calibration,Other
Monthly Water Usage -for Global HQ,Water
Boiler System Repair,Other
General Waste Collection -for Asia Pacific,Waste Disposal
Water Supply -- South America,Water
Monthly Water Usage -,Water
Heating Expense -- Basel Site,Heating
Transformer Upgrade Project,Other
Winter Heating Usage -for North America,Heating
Steam Generation Gas -,Heating
Steam Generation Gas -in Distribution Center,Heating
Hazardous Waste Disposal -,Waste Disposal
Electricity Supply -in Basel Site,Electricity
Recycling Program Audit,Other
Recycling Services -,Waste Disposal
Natural Gas Line Inspection Fee,Other
Grid Power Purchase -for R&D Center,Electricity
Propane Supply -for European Operations,Heating
General Waste Collection -in Year-End,Waste Disposal
Recycling Services -in North America,Waste Disposal
Water System Cleaning & Descaling,Other
Fuel Oil Delivery -,Heating
Energy Efficiency Study,Other
Municipal Water Charge -in Distribution Center,Water
Bulk Water Purchase -- R&D Center,Water
Power Consumption -for R&D Center,Electricity
Heating Fuel Purchase -in South America,Heating
Power Consumption -for European Operations,Electricity
Heating Expense -in Basel Site,Heating
Power Consumption -- Q3 Period,Electricity
Fuel Oil Delivery -- Global HQ,Heating
Power Consumption -- Distribution Center,Electricity
Gas Utility Bill -- Basel Site,Heating
Heating Expense -,Heating
Chemical Waste Disposal -for Asia Pacific,Waste Disposal
Heating Fuel Purchase -- Asia Pacific,Heating
Bulk Water Purchase -for Distribution Center,Water
Hazardous Waste Disposal -,Waste Disposal
Electric Utility Bill -for Monthey Facility,Electricity
Bulk Water Purchase -in Year-End,Water
Electric Utility Bill -in R&D Center,Electricity
Natural Gas Supply -for European Operations,Heating
Propane Supply -for Monthey Facility,Heating
Medical Waste Collection -- Q3 Period,Waste Disposal
KWh Consumption -for Asia Pacific,Electricity
Municipal Water Charge -for Global HQ,Water
Electrical System Maintenance Contract,Other
Energy Supply Charge -in Monthey Facility,Electricity
Solid Waste Management Fee -in North America,Waste Disposal
Potable Water Supply -,Water
Potable Water Supply -- R&D Center,Water
Heating Fuel Purchase -in Basel Site,Heating
Potable Water Supply -- Manufacturing Plant,Water
Power Consumption -for Basel Site,Electricity
General Waste Collection -in R&D Center,Waste Disposal
Natural Gas Supply -for Year-End,Heating
Municipal Water Charge -- European Operations,Water
Municipal Water Charge -,Water
Medical Waste Collection -,Waste Disposal
Grid Infrastructure Consulting Fee,Other
Fuel Oil Delivery -in R&D Center,Heating
Monthly Power Usage -for Manufacturing Plant,Electricity
Water Consumption -in R&D Center,Water
Propane Supply -for Basel Site,Heating
Electric Utility Bill -for Q3 Period,Electricity
Electric Utility Bill -in European Operations,Electricity
Winter Heating Usage -,Heating
Gas Utility Bill -,Heating
Industrial Waste Pickup -- Global HQ,Waste Disposal
Heating Fuel Purchase -- Asia Pacific,Heating
Gas Utility Bill -- Basel Site,Heating
Steam Generation Gas -for Q3 Period,Heating
Water Utility Bill -- South America,Water
Electric Utility Bill -for South America,Electricity
Raw Water Intake -for Asia Pacific,Water
Steam Generation Gas -for R&D Center,Heating
Gas Utility Bill -for Asia Pacific,Heating
Heating Fuel Purchase -for Manufacturing Plant,Heating
Natural Gas Supply -,Heating
Solid Waste Management Fee -,Waste Disposal
Electricity Supply -in Asia Pacific,Electricity
Natural Gas Supply -,Heating
Power Consumption -,Electricity
Energy Supply Charge -for Manufacturing Plant,Electricity
KWh Consumption -in North America,Electricity
Energy Supply Charge -in South America,Electricity
Marketing Campaign - Digital Ads,Other
Winter Heating Usage -in Year-End,Heating
Natural Gas Supply -for R&D Center,Heating
Heating Fuel Purchase -,Heating
Winter Heating Usage -for R&D Center,Heating
Power Consumption -,Electricity
Cooling Tower Water Treatment Chemicals,Other
Electricity Meter Reading -for South America,Electricity
Electric Utility Bill -for Asia Pacific,Electricity
Raw Water Intake -in Q3 Period,Water
Steam Generation Gas -in Monthey Facility,Heating
Fuel Oil Delivery -- Distribution Center,Heating
Gas Utility Bill -for Asia Pacific,Heating
Water Utility Bill -for Q3 Period,Water
Solid Waste Management Fee -for Basel Site,Waste Disposal
Natural Gas Line Inspection Fee,Other
Electricity Meter Reading -for South America,Electricity
Electricity Supply -,Electricity
Hazardous Waste Disposal -in South America,Waste Disposal
Monthly Water Usage -in Year-End,Water
Medical Waste Collection -in Year-End,Waste Disposal
Heating Fuel Purchase -,Heating
KWh Consumption -,Electricity
Heating Element Replacement,Other
Industrial Waste Pickup -for Manufacturing Plant,Waste Disposal
Chemical Waste Disposal -,Waste Disposal
Electricity Supply -in R&D Center,Electricity
Heating Expense -for Q3 Period,Heating
Propane Supply -in European Operations,Heating
Electricity Supply -in Manufacturing Plant,Electricity
Electric Utility Bill -in Manufacturing Plant,Electricity
Hazardous Waste Disposal -in Asia Pacific,Waste Disposal
Potable Water Supply -in Asia Pacific,Water
Winter Heating Usage -for European Operations,Heating
Gas Utility Bill -in Year-End,Heating
Bulk Water Purchase -,Water
Power Consumption -- Global HQ,Electricity
Recycling Services -for Q3 Period,Waste Disposal
Grid Power Purchase -,Electricity
Electricity Meter Reading -in Year-End,Electricity
Water Consumption -,Water
Raw Water Intake -in European Operations,Water
Potable Water Supply -for Distribution Center,Water
General Waste Collection -,Waste Disposal
Water Utility Bill -for Manufacturing Plant,Water
Natural Gas Supply -in Q3 Period,Heating
Monthly Power Usage -- Q3 Period,Electricity
Bulk Water Purchase -- R&D Center,Water
Energy Supply Charge -- South America,Electricity
Recycling Services -,Waste Disposal
Solid Waste Management Fee -- Global HQ,Waste Disposal
Medical Waste Collection -,Waste Disposal
KWh Consumption -- Global HQ,Electricity
Natural Gas Line Inspection Fee,Other
Hazardous Waste Disposal -- European Operations,Waste Disposal
Heating Element Replacement,Other
Winter Heating Usage -for Q3 Period,Heating
Potable Water Supply -- South America,Water
Insulation Material Purchase,Other
Landfill Site Permit Renewal,Other
Non-Hazardous Waste Disposal -,Waste Disposal
Electricity Supply -- R&D Center,Electricity
Seeds Product Sales - Latin America,Other
General Waste Collection -- Monthey Facility,Waste Disposal
Environmental Impact Assessment,Other
Temperature Control System Upgrade,Other
IT System Upgrade - Software Licenses,Other
Fuel Oil Delivery -in South America,Heating
Energy Efficiency Study,Other
Heating Expense -- Distribution Center,Heating
Steam Generation Gas -,Heating
Industrial Waste Pickup -in Distribution Center,Waste Disposal
Propane Supply -for Manufacturing Plant,Heating
Heating Fuel Purchase -in Distribution Center,Heating
KWh Consumption -- Year-End,Electricity
Grid Power Purchase -in Year-End,Electricity
Heating Element Replacement,Other
Water Utility Bill -- R&D Center,Water
Electricity Supply -in R&D Center,Electricity
Raw Water Intake -for Asia Pacific,Water
General Waste Collection -in Distribution Center,Waste Disposal
Monthly Water Usage -for Distribution Center,Water
Water Supply -,Water
Electricity Meter Reading -- South America,Electricity
Grid Power Purchase -- North America,Electricity
Chemical Waste Disposal -for Distribution Center,Waste Disposal
Natural Gas Supply -in North America,Heating
Industrial Waste Pickup -in Basel Site,Waste Disposal
Winter Heating Usage -for Distribution Center,Heating
Water Quality Testing Fee,Other
Electric Utility Bill -for Asia Pacific,Electricity
Heating Fuel Purchase -in Distribution Center,Heating
Grid Power Purchase -,Electricity
Water Consumption -- Asia Pacific,Water
Natural Gas Supply -,Heating
Solid Waste Management Fee -- Basel Site,Waste Disposal
Water Consumption -for Q3 Period,Water
Travel & Entertainment Expense,Other
Power Consumption -,Electricity
Hazardous Waste Disposal -in Q3 Period,Waste Disposal
Electric Utility Bill -in Monthey Facility,Electricity
Fuel Oil Delivery -for Basel Site,Heating
Solid Waste Management Fee -- Manufacturing Plant,Waste Disposal
Gas Utility Bill -in European Operations,Heating
Monthly Power Usage -,Electricity
Gas Utility Bill -in Distribution Center,Heating
Propane Supply -- Basel Site,Heating
Gas Utility Bill -in Asia Pacific,Heating
Heating Fuel Purchase -in Q3 Period,Heating
Energy Supply Charge -,Electricity
Power Consumption -in South America,Electricity
Bulk Water Purchase -,Water
Recycling Services -- Global HQ,Waste Disposal
Solid Waste Management Fee -for Asia Pacific,Waste Disposal
Gas Utility Bill -,Heating
Chemical Waste Disposal -- European Operations,Waste Disposal
Fungicide Product Sales - North America,Other
Drainage System Maintenance,Other
KWh Consumption -in European Operations,Electricity
Recycling Services -for Distribution Center,Waste Disposal
Drainage System Maintenance,Other
Gas Utility Bill -- Distribution Center,Heating
Lighting System Replacement,Other
Monthly Power Usage -,Electricity
Electric Utility Bill -for North America,Electricity
Winter Heating Usage -in Basel Site,Heating
Hazardous Waste Disposal -in Year-End,Waste Disposal
Solid Waste Management Fee -,Waste Disposal
Steam Generation Gas -- Asia Pacific,Heating
Heat Exchanger Cleaning,Other
Propane Supply -in R&D Center,Heating
Potable Water Supply -- Year-End,Water
Energy Supply Charge -- European Operations,Electricity
Fuel Oil Delivery -for R&D Center,Heating
Recycling Services -,Waste Disposal
Electricity Meter Reading -for Basel Site,Electricity
Power Consumption -- Global HQ,Electricity
Municipal Water Charge -,Water
Propane Supply -in Year-End,Heating
Heating Fuel Purchase -in Monthey Facility,Heating
Winter Heating Usage -in Global HQ,Heating
Energy Supply Charge -in Basel Site,Electricity
Industrial Waste Pickup -for South America,Waste Disposal
Water Utility Bill -in Year-End,Water
Industrial Waste Pickup -,Waste Disposal
Electricity Meter Reading -for South America,Electricity
General Waste Collection -,Waste Disposal
Power Consumption -for North America,Electricity
Solid Waste Management Fee -in R&D Center,Waste Disposal
Insulation Material Purchase,Other
Natural Gas Supply -- North America,Heating
Grid Power Purchase -for Global HQ,Electricity
Electricity Meter Reading -,Electricity
Heating Expense -- Basel Site,Heating
Monthly Water Usage -in Basel Site,Water
Industrial Waste Pickup -,Waste Disposal
Electrical System Maintenance Contract,Other
Heat Exchanger Cleaning,Other
Grid Power Purchase -in South America,Electricity
Industrial Waste Pickup -in Distribution Center,Waste Disposal
Raw Water Intake -for Basel Site,Water
Power Consumption -,Electricity
Water Utility Bill -,Water
Water Consumption -- Asia Pacific,Water
General Waste Collection -for Distribution Center,Waste Disposal
Grid Power Purchase -for European Operations,Electricity
Grid Power Purchase -in Monthey Facility,Electricity
Chemical Waste Disposal -for Year-End,Waste Disposal
Medical Waste Collection -,Waste Disposal
Heating Fuel Purchase -in South America,Heating
Monthly Water Usage -- R&D Center,Water
Fuel Oil Delivery -- Monthey Facility,Heating
Solar Panel Installation Cost,Other
Bulk Water Purchase -in Asia Pacific,Water
Non-Hazardous Waste Disposal -in Q3 Period,Waste Disposal
Non-Hazardous Waste Disposal -for South America,Waste Disposal
Water Consumption -in European Operations,Water
Raw Water Intake -- R&D Center,Water
Raw Water Intake -for European Operations,Water
Monthly Water Usage -for Year-End,Water
Non-Hazardous Waste Disposal -- Global HQ,Waste Disposal
Water Consumption -- Q3 Period,Water
Chemical Waste Disposal -,Waste Disposal
Water System Cleaning & Descaling,Other
Winter Heating Usage -,Heating
Steam Generation Gas -,Heating
Potable Water Supply -for Manufacturing Plant,Water
Winter Heating Usage -for Distribution Center,Heating
KWh Consumption -,Electricity
Electricity Meter Reading -in Monthey Facility,Electricity
KWh Consumption -- Distribution Center,Electricity
Bulk Water Purchase -for Global HQ,Water
Electric Utility Bill -- Asia Pacific,Electricity
Fungicide Product Sales - North America,Other
Water Supply -- Manufacturing Plant,Water
Steam Generation Gas -in Manufacturing Plant,Heating
Municipal Water Charge -for Manufacturing Plant,Water
Chemical Waste Disposal -in Global HQ,Waste Disposal
Municipal Water Charge -,Water
Fuel Oil Delivery -,Heating
